,earlier_sales,price_level,signature_hand,signature_initialled,signature_plate,signature_stamped,proof_artist_proof,proof_edition_unnumbered,proof_hors_commerce,proof_trial_proof,proof_unknown,edition_band_151-300,edition_band_31-75,edition_band_<=30,edition_band_>300,edition_band_unknown,area_band_400-900,area_band_900-1800,area_band_<400,area_band_>7500,area_band_unknown,process_aquatint,process_collotype,process_drypoint,process_engraving,process_etching,process_linocut,process_offset,process_other,process_pochoir,process_screenprint,process_woodcut,house_Forum Auctions,house_Roseberys London,house_Skinner,house_Swann Auction Galleries,area_log_xl,subject_is_abstract,subject_is_comic_satirical,subject_is_surreal,poster,after,object,unsold
Fernando Botero,39.0,741.8914887898661,1.6626018349996214,1.1760349565367751,0.9493648283361246,1.3042705792884088,1.2301091926896672,0.9748740065908783,1.1635345215705968,1.144461121342967,1.0751997744798427,0.9523617702861105,1.2183869985335167,1.0922202709392053,0.7694565933311283,0.837364730708448,0.8683991441164587,1.0358166523943773,0.7784236208317246,1.2192279757946174,0.9257909364839861,0.7898553764172779,1.1273626245165447,1.0217760515936996,1.0944518160344305,0.9260303480124904,1.127254896014253,0.8361110767821961,1.0405259931908744,1.092094366577505,0.8533974110114554,1.5383654374380016,0.6046069519802333,0.7336344925393147,1.819652660747241,1.4111897694497455,1.2830738655826182,0.6756246973858119,0.8518425484353549,0.9553022423322104,0.8949715576761921,0.7781853593931787,2.8676375349289915,1.067413266965095
Chris Ofili,39.0,927.7383218824842,1.4341326323969115,1.221348628115989,1.051758651056537,1.1273565682146192,1.0302422931801338,0.7372758182367504,1.4982594116746188,0.9770657100577256,1.0597006767526465,0.8101055971820768,1.366178468174348,0.9797609715871,0.8055123271083316,0.8891603858445111,0.9609552819427007,0.9914230728488231,0.7265613922716156,1.0353985120173832,0.8574694387680633,1.0469176256776462,1.4273248447477138,1.0543937507350594,0.5566026076691019,1.014873372296026,0.6428573693594326,0.8119950092034591,0.885289733737442,1.092094366577505,0.9726214238308138,1.4827361897798885,0.7722996300303293,0.6985320808023708,0.731531922782781,1.7629409831328953,1.2293899637055141,0.8661856946945269,0.7676105740085463,1.0739330498071438,0.7644141138347906,0.46546141447862593,1.409401491717244,1.0987956819405231
Anthony Gross,39.0,299.14570519873627,1.0860887574097766,1.1971226246944862,1.051758651056537,1.3148110833045117,0.9641742285539006,0.8830562347037689,1.4982594116746188,0.9770657100577256,1.1403140226008246,0.9579530721809342,1.0132453492454365,1.0073917243139596,0.9163353435593582,0.9874454198171405,0.9475936330164537,1.0026899714775397,0.8848290960384576,1.2388178581345117,0.9371375561509905,1.0740246154038209,1.4273248447477138,1.0522412373022485,0.8712928122078294,1.0309663302854803,1.0876148005720017,0.74336184146133,1.0311742234203207,1.092094366577505,1.095692443051344,1.8136969865153365,0.6548430465743684,0.7391925933607246,0.731531922782781,1.794696136162462,1.316157710015316,0.8965829066373953,0.9443552930218039,0.8035566155151564,0.6757041900155352,0.5316301268863893,1.409401491717244,1.1737467413525347
Joseph Pennell,38.0,756.5603242498671,1.2765423026838352,1.1389591947891036,0.9493648283361246,0.7564249686830211,1.0505857006071457,1.0109370887211093,1.038119449604256,1.1960908606719773,0.8838854389127488,0.7575700068587815,0.9873210958056334,1.0216930347400663,0.6776997106291166,0.9424145727576244,1.0598480472532466,1.0464138907385274,0.8912056705832896,1.3410774166346473,1.0905250628302368,0.9284366970804339,1.2311804516660048,0.9568020738216021,1.0944518160344305,0.8453865140002086,1.127254896014253,1.6048808154335772,1.253083325859585,1.092094366577505,1.5607982460198484,1.0076112677226614,0.7249569198346828,0.6273305393011456,0.44032379925493526,1.473040015649941,1.2436779790538552,1.0366752160030823,0.9714768493232883,1.0441861821520648,0.7018787241606239,0.6361473367290486,0.6148648366330643,1.0542553526528748
Nick Smith,38.0,742.8001935338522,1.1718058100164646,1.2530749361550044,0.9493648283361246,1.0334572479421418,1.0910435340603686,0.8521089543359941,1.3919416228680956,1.144461121342967,0.9441370827093151,1.0533930077680942,1.0573823751409244,1.0866739299249024,0.633638912404266,0.987886617441373,0.9148785996732444,0.7878503563267032,0.770987166284375,1.0433852331148281,0.8811353826002395,1.0810657372774966,1.2311804516660048,1.3647994491297029,1.0944518160344305,1.1181329514617113,0.8677410737887596,0.7697057940925748,1.1629988298107643,1.092094366577505,0.9319107449251623,1.257715141503565,0.8720409302988078,0.7923804377789893,0.9900242140077037,1.5052336539673588,1.228009018844899,0.961057823188679,0.9413966130683369,0.924821825877328,0.9693299910501989,0.8210214070069097,2.8676375349289915,0.9535481374566305
Hans Sebald Beham,38.0,1104.3951729505995,1.837548603268573,1.3470919023566563,0.8264495330978683,1.1448759139111646,1.2003083071088634,1.2137890317840379,1.0259468589947143,1.758165137373747,1.0655756297847405,0.5974374237419254,1.1077643355825393,1.1353537657425812,0.8362637826836927,1.0062890420438404,0.9025177028563407,0.8174594941047606,0.6676676055479311,1.681956645699976,1.159139204061011,1.207465744772933,1.2311804516660048,1.1827684559834066,1.207353902002864,0.9953522158247674,1.127254896014253,0.7411125631310471,1.6141276118222587,1.092094366577505,1.0996664265247036,0.8066373226899988,1.0229857078462392,0.4161892839131015,0.2241166183521002,1.4270133103933906,1.319145823657824,0.9184462608627718,0.7272748077171463,1.0441861821520648,0.7018787241606239,0.31938537460641614,1.409401491717244,1.0725999518784346
William Lionel Wyllie,37.0,320.70762800885694,1.1854020729587467,1.1758908329432736,1.051758651056537,1.011426126264216,0.9902131361078804,0.8641883780645009,1.275012954144041,0.9770657100577256,1.1233306268322305,0.975654185203267,1.0071899757409106,1.027351966480281,0.7582955941576209,1.017014843031605,0.9123071664158318,0.9895991884148658,0.8737780559644458,1.1591685018944462,0.9249812487814275,1.086784312102836,1.4273248447477138,1.0208243947937965,1.1004377871742508,0.9875607333450488,1.3408705612765146,0.8998452801548137,1.0134320846450475,1.092094366577505,1.1975872505971354,2.181729404583142,0.7327160886711456,0.673163788014016,0.731531922782781,1.6518049973830915,1.3824364852608784,0.9443673484660985,0.8050264285503559,1.2480750595298504,0.6607002280747795,0.5316301268863893,1.409401491717244,1.1352397490013568
Norman Rockwell,37.0,590.2170461935535,1.1263310730779856,1.2035138789205617,0.9493648283361246,0.7564249686830211,1.0952942766712654,1.0864381129454366,0.94638141957337,0.9749701245287866,0.8869893439146375,1.0729287732512232,1.1382325261130646,1.2702301515146186,0.7753446594800794,0.9100125646676388,0.8982420103487682,0.8866567990512244,1.019648924593705,1.2356094011188488,0.8327269677698078,0.9469804818975938,1.1976862772835832,1.3015177025143003,1.0944518160344305,0.8071369403883096,1.127254896014253,0.8388929643237518,1.0819444828916038,1.092094366577505,0.9321872673004528,1.209133200053315,0.7096538462347227,0.7119673376496375,0.823149891319696,1.5759521912069556,1.2491575893130833,1.0441166019915868,0.9639814861115212,1.0441861821520648,0.7029688408523113,0.851172811500019,1.4389748079842484,1.1748139229829242
Tom Phillips,37.0,443.36171283254345,0.9791708565799734,1.2561577851522452,0.9493648283361246,1.1202880376493705,1.0213394642644624,0.8880967668867916,1.0259468589947143,1.144461121342967,1.1627791685735915,0.8683854114643209,1.0531934892775057,0.990987570501491,0.728794846523956,1.055903728080864,0.9211628925001274,0.8480599764588604,1.0336430063629274,0.9441056730702734,0.8406552344553335,1.1211816226179525,1.2311804516660048,1.1798764015329566,0.5566026076691019,0.943634196587225,0.6428573693594326,0.8230318555326585,0.7345493776492236,1.092094366577505,0.9315613065191688,0.9821581568965825,0.6093608173811046,0.6648515115620944,0.731531922782781,1.5052336539673588,1.3130237348934777,0.8930710280395006,0.8591040188254433,1.101069112264419,1.0403664163720538,0.7015116329138568,1.774183771687724,0.9999669402249516
Mary Fedden,37.0,312.73399893218476,1.0946415944891832,1.1831754958173093,1.051758651056537,1.1527996478011715,0.99440146298587,0.7623797810850039,1.4982594116746188,0.9770657100577256,1.1042468437939081,0.9514669797201203,1.1930636189608896,0.9938607040671418,0.9352349731633551,1.0181092052535698,0.7949072865746205,0.856733501360716,0.8321734813539008,1.1458132984385032,0.7999422653283681,1.1489600168846856,1.4273248447477138,1.0543937507350594,0.5566026076691019,0.9849057267880545,1.127254896014253,0.8720746896777604,1.067908347756511,1.092094366577505,1.0484779637940511,1.8024125740538763,0.7704251678941655,0.7552261411588225,0.731531922782781,1.7629409831328953,1.2751429993611019,0.8509593265989677,0.8510676820692453,1.0218293357971477,0.6959462207787549,0.6407624448529086,1.409401491717244,1.1409283110196005
Louise Nevelson,37.0,1291.4284288488964,1.0626899927253088,1.1871854504819657,0.9493648283361246,1.1448759139111646,1.1062266652263915,1.111232763892628,1.035026574014636,0.9146371282158782,0.8878126509813623,1.0386545043867956,1.021904866332941,1.1362987288254862,0.8070415822784651,0.8824973035293571,1.084989288804132,0.9248086767077734,0.8621346860210011,1.4275487418847819,0.908890679199595,0.9770475884333103,1.2311804516660048,1.1138843588852847,1.0944518160344305,0.8652476804480947,1.192321104351315,0.8135979009281179,1.1583230976620407,1.092094366577505,0.7670211942030394,1.2938005453115333,0.6441866952760829,0.7668899175448237,0.8596828317248943,1.6208046088277506,1.3167191040990267,1.0264976798276104,0.9577569062776152,1.2589013646494929,0.6221507332804895,0.796108321395093,1.118848785619789,1.2626789852840807
Jean-Michel Basquiat,37.0,4891.1395005688755,2.0418166163111247,1.6173890510686988,0.9053638248851423,1.5884910760260822,1.1413666362608812,1.4009480820754585,0.9360786206136584,1.8980632742968893,3.14516346246353,1.2133838029840405,1.307997014253263,1.0488457065302743,0.6408858002676227,0.6762934878709642,0.7877284493971516,0.9303072692096378,0.8994264987665153,1.4740204800793246,0.7407614780785287,1.3040116163102171,1.2311804516660048,1.1798764015329566,1.0944518160344305,0.632732390481829,1.127254896014253,0.8162546016729173,0.859698584579381,1.092094366577505,1.6524512203965553,0.8696481949197316,0.6948713451754324,0.6397511810026896,0.8164383762749245,1.5052336539673588,1.0476601312411442,0.7127907698541517,1.1365984223640921,1.2201223400307164,0.6541896876179906,0.5837062409925573,0.8841531764769026,1.1631124841718603
Herb Ritts,37.0,2135.24996572148,1.515738438640398,1.1748930991820528,0.9493648283361246,1.1448759139111646,1.3250229792445072,1.0235418510918328,0.9384858666975641,0.9809145770476132,0.887144425905451,0.9294636089989519,1.0639010991043545,1.1571401064016809,0.6971316001325435,0.8387573874768688,0.7515487220160216,0.9922954572794084,0.5962092527650141,1.279101514533679,0.8685872560467096,0.8637191697526141,1.2311804516660048,1.0363832778760675,1.0944518160344305,0.7805785898602919,1.1171867961852602,0.7933680525533529,1.1128155500055836,1.092094366577505,1.016921099176601,1.11924285071104,0.7013154452504047,0.649508912134362,0.7670390762448763,1.509053946180173,1.413320803489842,1.009067324518481,0.9926263605468691,1.0441861821520648,0.731441812980132,0.8234097466521269,1.5304515825110705,1.1091782862238282
Philippe Halsman,37.0,971.661988393371,1.5721526712975706,1.3036691892287133,1.1403151781562386,1.3042705792884088,1.1408627889065321,1.0213022715476232,1.0408526106670217,1.077422907297098,0.8838854389127488,0.7924700296393697,1.0662490216908036,1.1601238997118952,0.6092149355301498,0.8303299054942237,0.9710596302395861,0.7531445629259315,0.8563538455006763,1.4002529024796877,0.6625998019469438,1.3130087863701667,1.2311804516660048,1.0440150102914416,1.0944518160344305,1.0253582162662318,1.127254896014253,0.8479899627246806,1.307433660687232,1.092094366577505,1.4796256627205115,1.2065037718110097,0.6709626367875615,0.6624838628069263,0.42329307977207514,1.3925242299663876,1.0275737335466713,1.2696152615205307,0.7272748077171463,1.0441861821520648,0.9075264349883395,0.7451926554897649,0.7629586536726282,1.107560365536291
Frank Auerbach,36.0,1502.6128152366,1.140022443704725,1.2616664026337916,1.051758651056537,1.117754057493298,1.0529575080511708,0.9312920274233336,1.2956016431588866,0.9770657100577256,1.0816394216006453,0.9506777490079279,0.9942215018740383,1.0290290091555956,0.6812596020158194,1.00460915265169,0.8341622871976325,0.8855792989007509,0.8952090271072985,1.2488354992115112,0.8692472766810511,0.9433847395288317,1.4273248447477138,0.931525019630251,1.1004377871742508,1.0128326899660733,1.3937125529235472,0.6982231448735877,0.92193510483906,1.092094366577505,0.8216071289983086,2.3878411938076023,0.9280993419903142,0.7366155664077242,0.731531922782781,1.5787652041093625,1.6075772005064706,0.9109466060422985,1.4167543683083341,0.9184223101922592,0.6944889438925307,0.6363589056121416,1.409401491717244,1.1896068597630882
Gillian Ayres,36.0,861.5383787401702,1.0794958317027168,1.1728514016354255,0.9493648283361246,1.0054177986219976,0.9984745544911542,0.8714389522713313,0.9272955135246913,1.144461121342967,1.1208403880489402,0.9459504342403247,1.0105157857789906,1.0346492569486072,0.7695445614812827,1.0893799386540293,0.8588179275610933,0.8923451862538696,0.969207246862843,1.1524547506464136,0.896426277294551,1.105494030696344,1.2311804516660048,1.1065052392839152,1.1004377871742508,1.0141743314189626,1.2907506700177873,0.9866422033636192,1.0461785535381598,1.092094366577505,1.2124517103485188,1.2793924976620736,0.7414970887024193,0.7749975185760098,0.731531922782781,1.5175074221757676,1.2507793941781462,0.9815915228116787,0.9791167156186039,1.2480750595298504,0.9592352892260009,0.6361473367290486,1.409401491717244,1.1733716494700521
Norman Ackroyd,36.0,300.5717012329687,1.2080530932932645,1.1831754958173093,1.051758651056537,1.3148110833045117,0.992014685714013,0.8691190502015086,1.4982594116746188,0.9770657100577256,1.043092250181803,0.9676320473125103,0.981886531612326,0.9434257175703986,0.8313850591357342,0.9185186350447562,0.8076994256919627,0.944104763762024,0.8821571878923054,1.149749788392604,0.8541643273257993,0.9871103243895843,1.4273248447477138,1.0921171599837713,0.7835080052417035,1.0005979019232858,1.0876148005720017,0.7535347402712633,1.0245594353956549,1.092094366577505,1.025169895998892,1.684822825575845,0.6555810159738087,0.7230966244187701,0.731531922782781,1.7807975126539006,1.2619696264894176,0.8538334389378361,0.8574152239048319,0.8896351587646089,0.7848890222102856,0.4741713797102546,1.409401491717244,1.3681802674242385
Peter Milton,36.0,682.1029934644262,1.1410253761425428,1.2168006732005534,0.9493648283361246,0.7564249686830211,1.1448022434147989,1.0191276022287918,0.9378428194846835,0.9765180785651315,0.9497794512342308,1.042132072419606,1.1068381279308612,1.1482699369379459,0.7831607361448171,0.9724452421594404,0.9135386640092242,0.8058308235040033,0.9986689595238479,1.2536713203887633,0.868863925043521,0.9190981230543299,1.2311804516660048,1.1360463516727692,1.1004377871742508,0.8459945270158439,1.0876148005720017,0.8488691740291727,1.1898034799497443,1.092094366577505,0.9119476897218372,1.209133200053315,0.6691506606283784,0.6211461219740256,0.807578269040606,1.6928089909498618,1.3231249477019011,1.078084455751055,0.9942714227375998,1.0441861821520648,0.7707508586433481,0.8532034227990103,1.308057666024942,1.1862883251583212
Edouard Vuillard,36.0,2225.658388638296,1.4783099995860642,1.5666452166623144,0.9493648283361246,0.9560242568210306,1.1660765499408183,0.8937474268602288,1.227344943714251,1.1359548235149637,1.2374796764722336,0.9685312535914016,1.002493816850746,1.1086600776708484,0.6782824041086489,0.8118298530560266,0.5623476685940829,0.7886682338985379,0.5940897472422402,1.153241588084787,0.6605475299033479,1.1385965864580556,0.729008039151754,1.1575066063210182,0.9935603855655626,0.9024575124018168,0.7837701378990162,0.528618992252901,1.4359290926346937,0.9837243077149946,0.4776879168109401,0.91709530373857,0.689259428010224,0.4120638341318256,0.5586531905045257,1.4046094673408118,1.2375684461929302,0.9565173834393699,0.9767462515712182,0.7863900914819806,0.5462616413477479,0.7211617132646543,1.409401491717244,1.079421274807442
Bruce Nauman,36.0,1042.3364666895104,1.383477084791591,1.1305801310444246,0.9493648283361246,1.1448759139111646,1.0176702458689344,1.1613675705695996,1.0433647874992427,0.9971669098278189,0.8897251032820699,0.9894873635129376,1.2102079105038726,1.2699498256439865,0.6902522181556464,0.8256654030261653,0.7618454269407967,0.8900569623103401,0.6079484871958951,1.3327464273007512,0.9368965191207156,1.131239917497411,1.2311804516660048,1.0655633731286258,1.0944518160344305,0.9456218076273517,1.1770311912470082,0.7984014544984449,1.1952224941913216,1.092094366577505,0.991027564444657,1.2641034052125932,0.5923485231006591,0.7329095290313408,0.9542796142465196,1.5052336539673588,1.3274115313910733,0.9938177136248872,0.9577569062776152,1.2589013646494929,0.6147810705531754,0.7635919217532607,1.3681413362164838,1.309853546884902
Michael Rothenstein,35.0,291.77161606537857,1.1487324712597669,1.2229282807975148,1.051758651056537,1.127698193780978,1.0016041253099586,0.8119298032118524,1.4982594116746188,0.9770657100577256,1.0858909860380077,0.9020107748162043,1.097372504752879,0.9889037810140607,0.7650829651243399,0.9609058737765204,1.1191856771577384,0.9486815270840974,0.821765214048534,1.1138167953294036,0.873652326052327,1.1325633728102982,1.4273248447477138,1.0838995614349758,0.7375094350380149,0.9457660478377351,1.045858839174704,0.8136479361746269,1.0656123214949562,1.092094366577505,1.1965759617935239,1.1255238458114327,0.6349089233063033,0.6837727039377001,0.731531922782781,1.776945606584201,1.1873178639781263,0.8899496816505919,1.0149394982087523,1.1522616764561675,0.7179828473690214,0.47192742360554074,1.409401491717244,1.113653376654161
Luigi Kasimir,35.0,282.2510734404197,1.1940211445497382,1.2603293948990995,0.9493648283361246,1.0551584214963166,0.974019990062448,1.16258555443286,0.9919002467636863,1.144461121342967,1.126306381167793,0.9394832154898672,1.0867230653653082,1.0918176402750022,0.7073062356008943,0.9732123543226818,1.079948248411838,1.0469714389153948,0.9795344892555331,1.423902565378041,0.8822050144842719,0.9416183512092763,1.2311804516660048,1.1021596306325023,0.8085706658196018,0.9194951579867419,1.3078897702617287,0.9518983621678007,1.2346568575393537,1.092094366577505,0.9543844143434369,1.6968404420562988,0.5943388088391001,0.6460747972523221,0.731531922782781,2.0230914368061628,1.148605323134131,0.9663509641380216,0.8700261737891934,1.0806349557110329,0.9592352892260009,0.9929677220146447,0.6148648366330643,1.1374248465085306
Giovanni B. Tiepolo,35.0,1383.4071405972536,1.8704211786702398,1.0891744899632056,0.8209340489073069,1.1448759139111646,1.2003083071088634,1.2811555386056073,1.0259468589947143,1.3080394286184087,1.1773061752024678,0.5828010355048162,1.199609575452378,1.1994418790571988,0.6126739743089449,1.0208905212571182,0.9468525992744974,0.771589989917133,0.6809562148910838,1.681956645699976,1.4573448073022002,1.241713091694903,1.2311804516660048,1.0810891426196279,0.7616880893074577,1.0001536675698945,1.127254896014253,0.7411125631310471,1.4550196530451887,1.092094366577505,1.0996664265247036,1.253161095441044,0.8867464270186902,0.2843450808525124,0.2219601398169368,1.6049214681786725,1.319145823657824,0.9184462608627718,0.7272748077171463,1.0441861821520648,0.7018787241606239,0.411138220851178,1.409401491717244,1.039109788786307
