,earlier_sales,price_level,signature_hand,signature_initialled,signature_plate,signature_stamped,proof_artist_proof,proof_edition_unnumbered,proof_hors_commerce,proof_trial_proof,proof_unknown,edition_band_151-300,edition_band_31-75,edition_band_<=30,edition_band_>300,edition_band_unknown,area_band_150-400,area_band_900-1800,area_band_<150cm2,area_band_>1800,area_band_unknown,process_aquatint,process_collotype,process_drypoint,process_engraving,process_etching,process_linocut,process_other,process_pochoir,process_screenprint,process_woodcut,house_Roseberys London,house_Skinner,edition_log,area_log,subject_is_abstract,subject_is_comic_satirical,subject_is_surreal
Adrian George,11.0,17.636873920957147,1.278582518065897,1.429316558587338,1.4416540101829896,1.2464059999267976,0.9814588113899613,0.6681670035413598,1.2442566675200841,0.861664400472402,1.108560691316608,0.9317458420810898,0.9559936061152942,1.0200468953372808,0.7998744391353735,0.8422292365156877,1.2148327716243548,0.9985892658533695,1.118844622417567,0.9837772701053318,1.0761252634142708,1.1573585802004922,1.0585575606339157,1.1080781615860609,1.1626631507518013,1.0663760563973066,0.9910815649093071,1.085245812162136,1.7399803595986365,1.1769204787291103,2.2198087792416934,0.6955101791131545,0.8600081223844913,0.9653777869964417,1.1378678519678407,0.7689920256926446,0.7677117837563645,1.1203153956859182
Neil Canning,11.0,92.45296961741742,1.26274456563853,1.212431136242464,1.4416540101829896,1.2464059999267976,1.0030393706453327,0.6681670035413598,1.1359312572377676,1.3291724072309714,1.0360949451073727,1.0237108970947055,0.9338411407138382,1.0158406733742464,0.8004080212728042,0.8295316506356751,1.0420953240770772,0.9830299624423242,1.1951832552100978,0.9085279868113036,1.0000346969308054,1.0735602925346093,1.028026874255764,1.4720225670224287,1.1626631507518013,1.053471808619218,1.102510301841724,1.1762707340550778,1.7399803595986365,1.2134984131994204,1.4907182021539165,0.7478781950845341,0.8600081223844913,0.9339788641015665,1.177022835380844,0.8071037169196709,0.6917452323635358,1.1546433162779604
Irving Penn,11.0,767.2782917549035,2.170189312808212,1.3139706243363194,1.4416540101829896,1.2464059999267976,1.1908024896325888,0.7146460315241316,1.0382043271139278,1.26989034010498,1.0194610971581743,1.0339286420322567,1.3741820311075352,0.9579232533403275,0.5730921333911472,0.5966394431346953,0.9637290395226685,1.0597563999515378,0.8513840920684186,1.201970331883028,0.8169920748914848,1.2619665817216001,1.028026874255764,0.9144605642127208,1.4392567772527582,0.8606226155707896,1.1319379891802923,1.058559854864206,1.7399803595986365,1.095975083428432,1.1202001760262075,0.7095644022672584,0.7172328752974148,1.0393958935885,1.1700654441523146,0.9064620366845775,1.1356069945228895,1.1444429763233683
Edward Burra,11.0,112.07595701044343,1.27290406479446,1.4559052740127585,1.4416540101829896,1.2464059999267976,0.9650672986852473,0.6681670035413598,1.2442566675200841,0.861664400472402,1.087678394981993,0.9346645575672885,0.9276262196006252,0.9761264001386811,0.7850016058252315,0.8870111297627536,1.2078802898122762,1.0066912830537578,1.1100422702456103,0.9903914973184934,1.1352688837741707,1.1826667027496292,1.0585575606339157,1.1080781615860609,1.1626631507518013,1.0869271094133506,0.9910815649093071,0.9943684933842493,1.7399803595986365,1.2274364133304705,2.2757374339360767,0.6986680828976125,0.8600081223844913,0.9550236209345779,1.1459564216449043,0.7604341238750753,0.7940247844028688,1.1517348702494539
Hans Hartung,11.0,115.1966111637006,1.418896095803602,1.4475650146907442,1.4416540101829896,1.2464059999267976,0.9961571543834173,0.7146460315241316,1.087708181463177,0.861664400472402,1.0904130773876677,0.975158377244284,0.9203524889348761,0.9309193571904886,0.7660641081133868,0.7964925175995217,1.106022898707337,1.0611331628260288,1.0464764090839362,0.9896809916182582,1.068258578493236,1.0788330594764473,1.0585575606339157,1.2638891845897025,1.1626631507518013,1.047297259789774,0.9545513959100522,1.296300198193978,1.7399803595986365,1.0414207234207569,2.0655213706162776,0.7605501478426979,0.7191345316269483,0.9486322813982971,1.142699765749305,1.001966685425459,0.5793789105037455,1.1444429763233683
Julius Shulman,11.0,223.9305021128351,2.177236016805751,1.2730742810757307,1.4416540101829896,1.2464059999267976,1.2480695761691158,0.7146460315241316,1.1534529862014635,1.26989034010498,1.0194610971581743,1.1127787300262042,1.2865514357983112,0.876787010547854,0.5688735234994301,0.5623124819706511,0.9863669601765596,0.9852984180693735,1.1118010178724365,1.105128872693877,0.8156931686852439,1.2596475069774424,1.028026874255764,0.9301759890830049,1.4392567772527582,0.8598758923603906,1.1319379891802923,1.1548459831708902,1.7399803595986365,1.0881731811015192,1.1148182786818166,0.7116840553702877,0.8007043954026527,1.0472346665729182,1.1813609969163417,0.91245592508381,1.1142796544693538,1.1444429763233683
John Taylor Arms,11.0,252.1565639923461,1.415912791476311,1.262555400953404,1.4416540101829896,1.2464059999267976,0.9783799220505041,0.7146460315241316,1.2375199883412948,0.861664400472402,1.1738005465327548,1.025761257380576,0.9347496075187374,0.8558359716362715,0.7697802391596896,0.9689084771533708,1.10671831376281,1.1378843557994236,0.9514056865955959,1.2476395390397583,1.0503536451703517,1.024384362058142,1.0585575606339157,1.316426334331565,1.1626631507518013,1.1195159686642022,0.9910815649093071,0.9511877120328724,1.7399803595986365,1.3513589861822808,2.7525494232025505,0.6869149837270514,0.6735031669815277,0.956202996458985,1.10754632160138,0.9488034636980157,1.1728135778878042,1.1444429763233683
Nick Walker,11.0,125.02132218033364,1.3285709150386436,1.1961996084135071,1.4416540101829896,1.2464059999267976,0.9953238779720704,0.7117805770647878,1.1359312572377676,1.3291724072309714,1.0312491911534765,0.9238796127729443,0.8902895851218438,1.0125745169699782,0.7075441969332472,0.8773570379257869,1.0829008054183316,0.938079710444693,1.184262018085279,0.9546578938728618,1.07680053692298,1.1182034785547779,1.028026874255764,1.4720225670224287,1.4392567772527582,1.0541441930899675,1.1146496151041605,1.0932697353908165,1.7399803595986365,1.133260837012995,1.7418017643566235,0.7199711869399816,0.8600081223844913,0.9538671921925298,1.1772855009704268,0.778604306159994,0.7018925043592289,1.0908683960435799
Gavin Turk,11.0,70.91362392389952,1.3335247397836674,1.18186182548131,1.4416540101829896,1.2464059999267976,0.9969941078913003,0.7084479195368591,1.1359312572377676,1.3291724072309714,1.0432360908843608,0.9831153308353232,0.9424883304027916,1.020591465491402,0.7480166997438803,0.8314156818218762,1.0778907439980807,0.9489574186023085,1.1985070658893742,0.9475668383848929,1.0222359306709083,1.0734943906999095,1.028026874255764,1.4720225670224287,1.4392567772527582,1.0806216938839621,1.1263495528176617,1.180535259401291,1.7399803595986365,1.1602331842998432,1.5316442474848182,0.731611270183691,0.8600081223844913,0.9383325751942235,1.1660165455961282,0.774531246588173,0.7008373149788614,1.111449564710404
Mr Doodle (Sam Cox),11.0,252.07388969368986,1.4202752687075957,1.1342028786919383,1.4416540101829896,2.1755086423664296,1.0519597755060355,0.7099709663631132,1.1359312572377676,1.3291724072309714,1.0412521061915105,0.9684560798989221,0.9234451699799848,0.9378323076452895,0.781174440895881,0.7615862487756215,0.9371245445248567,0.9008588201827052,1.1903831580539337,1.0007783410307842,1.0426539995864779,1.7722112682239928,1.028026874255764,1.1866142896185663,1.4392567772527582,1.3271021082970325,1.2869624303281326,1.4562259299542302,1.7399803595986365,1.4300666472089638,2.014277835995938,0.7155207181636122,0.8600081223844913,0.9177823268246675,1.135827689841831,0.7684010959779513,0.7201020845759446,1.046942953202057
