,earlier_sales,price_level,signature_hand,signature_initialled,signature_plate,signature_stamped,proof_artist_proof,proof_edition_unnumbered,proof_hors_commerce,proof_trial_proof,proof_unknown,edition_band_151-300,edition_band_31-75,edition_band_<=30,edition_band_>300,edition_band_unknown,area_band_400-900,area_band_900-1800,area_band_<400,area_band_>7500,area_band_unknown,process_aquatint,process_collotype,process_drypoint,process_engraving,process_etching,process_linocut,process_offset,process_other,process_pochoir,process_screenprint,process_woodcut,house_Forum Auctions,house_Roseberys London,house_Skinner,house_Swann Auction Galleries,area_log_xl,subject_is_abstract,subject_is_comic_satirical,subject_is_surreal,poster,after,object,unsold
Pierre-Auguste Renoir,562.0,3803.372375829138,1.3075630434605092,1.3016237161038173,1.016801293576942,1.419100660900828,1.1331165840679305,0.9734092278836428,1.2501747718566,1.873224167377992,1.617060310471974,1.4320442279082215,0.6903381091012121,0.5660236102721856,0.6274238333736565,0.6564151018704103,0.45548163424300914,0.5144248121374517,0.3794856377293131,1.440953225618928,0.45220383837459,0.2870225078833192,1.1038548398405552,0.9219852289948958,1.1237920426036094,1.1548020188332875,0.623965284292458,0.7743775955253879,1.960011495522122,1.1193410349267006,0.5975454967480388,1.3471014193198436,0.8583506186998906,0.2500165089652129,0.6710817295705932,1.4288033938597562,0.8433730552748507,0.6374659483857478,1.05465664159381,1.0704988326388034,0.7477023412511999,0.2750096701231527,1.4260686991413292,1.042261003159488
Georges Braque,553.0,1077.703410958833,1.7732700877819207,1.535365648066523,1.0923684488887513,0.9678334917533958,1.0323660719910346,0.8039541329539655,1.0306817401375539,1.2478652261194674,0.9561688471629607,1.0134225325706157,1.0745564542266048,1.2912634938162213,0.643350789903534,0.6979229474375152,0.6079232762017711,0.7666399796871182,0.6485010809018419,1.203950946963905,0.8559466990533323,1.1521558159763006,1.1539661842194833,1.9644205394784298,1.03595901851906,1.0330186227580977,0.7635760617287786,0.885138682004649,1.078677266913068,1.0806528067122707,0.6045192562120777,0.8912121101576365,0.6200089840369323,0.5618985112116197,0.5545089074746773,1.4137944799133866,0.9754793216171799,1.4112438186915894,0.6575427428405548,0.9247244878146873,0.5420860891203413,0.669081077555664,1.4260686991413292,1.150782394255361
Takashi Murakami,519.0,1327.6866207934875,1.121863480871066,0.9272557210454088,1.0923684488887513,1.417872250366017,1.2078408231153666,0.6820645829431321,1.4099286088117557,1.1812001252286777,0.6730290435385552,0.8484823453401029,1.496123856964119,1.0495020700482367,0.8657133613780298,0.6913581804555619,0.950236270374952,0.7184871118190133,0.7045300127022026,1.6316787380958495,1.2356365756249732,1.997025033219109,1.1038548398405552,1.1527921813252702,0.6605202486452545,1.2907464624050233,1.0546278132210933,0.6386666693047821,0.9604672913867079,1.1193410349267006,1.001325406957949,1.7220651368929294,0.8185621492033965,0.766079038928463,0.8666426444070376,1.4957425945618372,0.9526860761968318,1.1269801431336406,1.1913337746770818,1.0084505301620188,0.8584831716934369,0.5396519949508635,1.3914258293991308,1.0733829090206872
Rufino Tamayo,462.0,1066.2702500134571,1.2753870349605902,1.229555650390096,1.2585350777256699,1.1145168843714803,1.087842786240231,1.0897024586224267,0.9258600870737284,1.0037859839528807,1.1071016545522119,0.8522410972676215,1.0085964667455705,1.0459894291591263,0.7903042522299829,1.0225915238059649,0.6945541526542681,0.8353896790099505,1.2114444619451732,1.3399283810052045,0.8038501452155851,1.0314028684108376,1.4611628914472887,1.0444520709493492,0.999064749159152,1.027148411337051,1.0546278132210933,0.996595597329708,1.6261549658378605,1.1193410349267006,1.385589184450029,1.1337193075766252,0.6972066682136641,0.6671182391248667,0.9359523602216139,1.3627702614785524,1.5948791131392877,0.9507518393280422,0.8634188175060672,1.0704988326388034,0.5579278831934393,0.5741033286034443,1.4632303450452528,1.391562260987278
Thomas Hart Benton,460.0,2267.8817359714058,1.5491030939142756,1.1107697971911528,1.0923684488887513,1.2142824922807367,1.0219148873941375,1.0985099135081255,0.9308639415745898,0.9309559313697449,1.1067367158191872,0.7755057790807216,1.6648351712145002,1.194222283004832,0.5981681837362953,0.7744137938098794,0.46657121805930946,0.6563796806822589,0.697822255292172,1.2174794336982417,0.5145129189789698,0.9945010610129342,1.1038548398405552,1.1527921813252702,1.6622449575521159,0.900000953767112,1.0546278132210933,1.1518898034494658,1.6630705104484365,1.1193410349267006,1.0265248643980316,1.200322260826329,0.6642021485773363,0.5844785898411691,0.7821321152318058,1.6209704326128782,1.1965313931845132,0.9568739719942044,1.2487684796796024,0.9182168337502955,0.5825803148775315,0.6502528346671244,1.5168140745381948,1.2286061682350746
Robert Rauschenberg,457.0,985.3479507938112,1.2106684966405887,1.21239662610945,2.4133426277827845,1.193028878316728,1.0052435646437377,1.4082838310326449,1.0569122947776999,1.1704609987353456,1.0454975332315748,1.0182090070346728,1.5749918456684762,2.4047788350505543,0.698073312338889,0.6480558371691753,0.9757877296875068,0.8469624028636107,0.9851477661688083,1.0153233755020588,0.7365423568762202,1.0332031466491998,1.1038548398405552,1.1963516893124975,0.999064749159152,0.6713176903242325,1.0399074863441735,0.9230891503131395,1.0252185749640608,0.715165659011172,1.091319776977809,1.253925537475589,0.7564670312293039,0.8285981792055739,0.9038409630043224,1.140779362087429,1.5710069559538684,0.9210601218481824,0.9184466878451926,1.122564520616481,0.7441063079363708,0.7869957596741067,1.4944848899738623,1.1746185982801354
Henri de Toulouse-Lautrec,456.0,4478.3732341879495,1.0370923138055204,1.510054460215407,1.0896705356489251,1.0768627904805554,1.1050569472737106,0.8431089419437396,1.1905396176033058,1.3848166689785533,1.371380809895919,0.5768634005697545,0.8791382212518172,1.2910799851161008,0.6306066420390753,0.9178167613368844,0.4201439515393429,0.4840901116518945,0.3637697388916177,1.9780499679808394,0.5634743871349458,0.9476077728053754,0.7434685515652968,0.9510451252465862,1.0694000000228148,0.9119205162754712,0.7569710888897563,0.5660929165268742,1.2770082568804169,1.0765364217222277,0.6003623598583504,0.9394019883942252,0.4722137811229238,0.45037797649364103,0.6400431796509873,1.2595176835859658,0.7489291788491883,0.9149047326578833,1.0331552181469197,0.9247244878146873,0.9474768262782501,0.31533978158839077,1.4260686991413292,1.0211401651003533
Alexander Calder,447.0,1049.5971318874251,1.5011416372738398,0.8167979346167908,1.0923684488887513,1.0211745758957986,0.9865343197933718,1.0105156946157388,0.8733000442803853,0.9617870589517511,1.1238202735977971,0.9158140710520413,0.971185383520785,1.1936295717060428,0.6746146673272609,0.6302668050343316,0.6566645395960958,0.7561284394371668,0.9676932008797472,1.2548551544113598,0.689777993813676,1.0619579483452413,1.1038548398405552,1.1963516893124975,0.999064749159152,0.7084723813907126,1.0546278132210933,0.9732037349743657,1.4966029562603131,1.1193410349267006,0.9573175290351535,1.1234971243383023,0.8098196906257618,0.47522608362915,1.0226340894312762,1.586470075821377,1.2296813652852308,0.9518399909825707,0.8960610543585639,1.0704988326388034,0.5718523499056973,0.5854944153152063,2.387180722856653,1.2323362993050582
Terry Frost,442.0,528.9122343311504,1.2442667271633336,1.1792343628575466,1.0923684488887513,1.043397580549109,0.9692953765044997,1.113796616011891,1.2898892646596976,1.1812001252286777,0.8768921623034013,1.0683762129882535,1.0027092086020277,1.1839729559489285,0.8283830429550901,1.047931399741934,0.7938694779401745,1.002831908104137,0.8148880221101444,1.48400731921207,0.9094571903810781,0.8103104624023578,1.1038548398405552,1.3070979983336475,0.999064749159152,0.8405327628989706,1.2014201318681537,0.8838613869021531,1.511791720095208,1.1193410349267006,1.190413598295996,1.5066613660198651,0.8093046142520153,0.9488512091742178,0.9922649924965599,1.4957425945618372,1.453650386219708,1.030378805429513,1.2331716107521986,1.1804183060464466,0.342403115988935,0.6508337271112721,2.3237165752848052,1.3121994726066177
Keith Haring,413.0,1468.2003256621779,3.1255797756588946,1.411782026990445,1.2279755679147586,1.9682602982283255,1.4211523827372574,1.1460183958149495,0.9298253443000688,1.688184714056867,1.7167312765846352,1.6356562039528748,1.1009537811107337,1.0928014405679827,0.6121988677339325,0.5733433012571879,1.1471942496985879,1.0535291711446564,1.467174041852693,2.163723858712692,0.9383813865567214,1.571196601084676,1.1038548398405552,1.1527921813252702,0.999064749159152,0.3670106048918439,0.9477712956659838,0.7300369783225948,0.5892699057544537,1.1193410349267006,0.7880627137721646,1.1772132674052629,0.8466391206738761,0.6597465686027212,0.560583008201583,1.4957425945618372,1.3159512689620279,0.8056001713193842,0.6263997614466316,0.9074307815748895,0.9141167220117647,0.5126342431903265,1.4100933727197567,0.9876614008201858
